Unnamed: 0,Tweets,id,len,date,source,likes,retweets,cleaned_tweet,processed_tweet,extracted_locations,primary_location,crime_category,security_level
0,"RT @NYPDDCPI: A solemn, silent salute for Firefighter Timothy Klein whose legacy is now one of heroics, selfless service, and the ultimate…",1518561962120130560,139,2022-04-25 12:05:59+00:00,Twitter Web App,0,25,rt a solemn silent salute for firefighter timothy klein whose legacy is now one of heroics selfless service and the ultimate,solemn silent salute firefighter timothy klein whose legacy one heroics selfless service ultimate,['Unknown'],Unknown,public_disturbance,low
1,"This afternoon, NYC lost one of it's bravest. Firefighter Timothy Klein died tragically while battling a 3-alarm fire in Brooklyn. We stand with our @FDNY family &amp; all New Yorkers as we mourn this terrible loss. https://t.co/GxJcIlBHt5",1518407564660289537,239,2022-04-25 01:52:28+00:00,Twitter Web App,477,98,this afternoon nyc lost one of its bravest firefighter timothy klein died tragically while battling a alarm fire in brooklyn we stand with our family amp all new yorkers as we mourn this terrible loss,afternoon nyc lost one bravest firefighter timothy klein died tragically battling alarm fire brooklyn stand family amp new yorkers mourn terrible loss,['Brooklyn'],Brooklyn,public_disturbance,low
2,We are saddened by the loss of @FDNY Firefighter Timothy Klein. Firefighter Klein died serving the people of NYC and will forever be a hero. We stand with our brothers and sisters at the FDNY as they grieve for their brother and continue to watch over the city. https://t.co/CN8oFoqg6E,1518364109124866049,285,2022-04-24 22:59:48+00:00,Twitter Web App,233,51,we are saddened by the loss of firefighter timothy klein firefighter klein died serving the people of nyc and will forever be a hero we stand with our brothers and sisters at the fdny as they grieve for their brother and continue to watch over the city,saddened loss firefighter timothy klein firefighter klein died serving people nyc forever hero stand brothers sisters fdny grieve brother continue watch city,['Unknown'],Unknown,public_disturbance,low
3,"Our deepest condolences go out to the family, friends, &amp; co-workers of Police Officer Andrew Barr from Cayce Police Department, who was shot &amp; killed while responding to a domestic disturbance call. He had served with the department for 6 years.
#FidelisAdMortem https://t.co/nAvUjZNmFs",1518349950534496261,294,2022-04-24 22:03:32+00:00,Twitter Web App,177,41,our deepest condolences go out to the family friends amp coworkers of police officer andrew barr from cayce police department who was shot amp killed while responding to a domestic disturbance call he had served with the department for years fidelisadmortem,deepest condolences family friends amp coworkers police officer andrew barr cayce police department shot amp killed responding domestic disturbance call served department years fidelisadmortem,['Unknown'],Unknown,violent_crime,high
4,"RT @NYPD23Pct: Investigating a domestic violence call, Sgt Sohmer &amp; his Officers gained the confidence of a witness who led them to this il…",1518312260380332032,144,2022-04-24 19:33:46+00:00,Twitter Web App,0,20,rt investigating a domestic violence call sgt sohmer amp his officers gained the confidence of a witness who led them to this il,investigating domestic violence call sgt sohmer amp officers gained confidence witness led,['Unknown'],Unknown,other,unknown
5,"RT @NYPDTransit: Recently, Transit officers saw two men fighting near a Brooklyn train station and ran to intervene. Our District 34 team s…",1518293716544495626,140,2022-04-24 18:20:05+00:00,Twitter Web App,0,46,rt recently transit officers saw two men fighting near a brooklyn train station and ran to intervene our district team s,recently transit officers saw two men fighting near brooklyn train station ran intervene district team,['Brooklyn'],Brooklyn,public_disturbance,low
6,"RT @NYPDFIRSTDEP: From @NYPDSchools Safety Agents and @NYPDTransport Traffic Agents, to Police Administrative Aides and @NYPDDetectives; wh…",1518258674904584193,140,2022-04-24 16:00:50+00:00,Twitter Web App,0,23,rt from safety agents and traffic agents to police administrative aides and wh,safety agents traffic agents police administrative aides,['Unknown'],Unknown,traffic_incident,low
7,"Here is a closer look at the suspect. Again, if you have any information, DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/UUAAr6KDMl",1518228462418415617,145,2022-04-24 14:00:47+00:00,Twitter Web App,24,32,here is a closer look at the suspect again if you have any information dm or anonymously call tips,closer look suspect information anonymously call tips,['Unknown'],Unknown,other,unknown
8,"🚨WANTED for GLA/Leaving The Scene of an Accident: On 4/22/22 at approx 8:15 AM, in front of 4527 White Plains Rd in the Bronx, the suspect removed a flatbed truck without permission, then struck a 49-year-old male &amp; fled the location. Any info? DM @NYPDTips or call 800-577-TIPS. https://t.co/R1XJThPbxx",1518228457959866369,307,2022-04-24 14:00:46+00:00,Twitter Web App,138,107,wanted for glaleaving the scene of an accident on at approx am in front of white plains rd in the bronx the suspect removed a flatbed truck without permission then struck a yearold male amp fled the location any info dm or call tips,wanted glaleaving scene accident approx front white plains bronx suspect removed flatbed truck without permission struck yearold male amp fled location info call tips,['Bronx'],Bronx,other,unknown
9,"What are you doing tonight? Did you know Saturday Night Lights is back? There are locations in every borough where kids can enjoy their night.

For a list of locations by borough:
https://t.co/gBR5u4rDds https://t.co/HN404Qe05r",1517986873355948033,227,2022-04-23 22:00:48+00:00,Hootsuite Inc.,32,10,what are you doing tonight did you know saturday night lights is back there are locations in every borough where kids can enjoy their night for a list of locations by borough,tonight know saturday night lights back locations every borough kids enjoy night list locations borough,['Unknown'],Unknown,other,unknown
10,"Ever wonder how the NYPD Crime Stoppers Program works? President &amp; CEO of the @nycpolicefdtn, Susan Birnbaum, &amp; Sgt. Richard Wall from @NYPDTips joined @NY1 to answer that question and more. https://t.co/hQwaDGN7lD",1517963829023494145,222,2022-04-23 20:29:13+00:00,Twitter Media Studio,34,16,ever wonder how the nypd crime stoppers program works president amp ceo of the susan birnbaum amp sgt richard wall from joined to answer that question and more,ever wonder nypd crime stoppers program works president amp ceo susan birnbaum amp sgt richard wall joined answer question,['Unknown'],Unknown,other,unknown
11,"Reminder: There are events going on throughout NYC that may affect your commute. Stay one step ahead of the traffic by checking out our weekend traffic advisory.

https://t.co/ALritgi5lK",1517896184702115841,186,2022-04-23 16:00:26+00:00,Hootsuite Inc.,18,9,reminder there are events going on throughout nyc that may affect your commute stay one step ahead of the traffic by checking out our weekend traffic advisory,reminder events going throughout nyc may affect commute stay one step ahead traffic checking weekend traffic advisory,['Unknown'],Unknown,traffic_incident,low
12,"TODAY!
Cash for Guns with @QueensDAKatz 
 
NO QUESTIONS ASKED.

Praise Tabernacle Church
108-11 Sutphin Boulevard
10:00 A.M. to 4:00 P.M.

$200 Pre-paid cards &amp; iPads for Handguns &amp; Assault Rifles
$25 for Rifles, Shotguns, and Airguns https://t.co/Mk8qYEnbIb",1517866009650253824,266,2022-04-23 14:00:31+00:00,Hootsuite Inc.,22,12,today cash for guns with no questions asked praise tabernacle church sutphin boulevard am to pm prepaid cards amp ipads for handguns amp assault rifles for rifles shotguns and airguns,today cash guns questions asked praise tabernacle church sutphin boulevard prepaid cards amp ipads handguns amp assault rifles rifles shotguns airguns,['Queens'],Queens,violent_crime,high
